Dataset,Method,Metric,Scaler,Cophenet,vanDongen,adjRand
audio_tracks,average,euclidean,minMax,0.6075625000361728,0.969963749352667,0.005245672535012073
audio_tracks,average,euclidean,standard,0.7150299691413127,0.969963749352667,0.005245672535012073
audio_tracks,ward,euclidean,minMax,0.529116035623191,0.8921775898520085,0.045053189387227736
audio_tracks,ward,euclidean,standard,0.3526214398105395,0.8921775898520085,0.045053189387227736
audio_tracks,single,hamming,minMax,0.06831719104058837,0.997709049255441,0.00015815210556535835
audio_tracks,single,hamming,standard,0.030363254511814635,0.997709049255441,0.00015815210556535835
audio_tracks,complete,hamming,minMax,0.2819273793783109,0.9426203379024546,0.010775108519455606
audio_tracks,complete,hamming,standard,0.08041136729294668,0.9426203379024546,0.010775108519455606
audio_tracks,average,hamming,minMax,0.3346194583126301,0.9595588235294118,0.012308532461818478
audio_tracks,average,hamming,standard,0.12244757699509828,0.9595588235294118,0.012308532461818478
audio_tracks,single,jaccard,minMax,0.06831429159481645,0.997709049255441,0.00011068767468615844
audio_tracks,single,jaccard,standard,0.030363254511814635,0.997709049255441,0.00011068767468615844
audio_tracks,complete,jaccard,minMax,0.17908962906026732,0.9610894941634242,0.00594612574484753
audio_tracks,complete,jaccard,standard,0.08041136729294668,0.9610894941634242,0.00594612574484753
audio_tracks,average,jaccard,minMax,0.20897394556927423,0.9438356164383561,0.015672754681967806
audio_tracks,average,jaccard,standard,0.12244757699509828,0.9438356164383561,0.015672754681967806
audio_tracks,single,kulsinski,minMax,0.2644643716514738,0.9994272623138603,-4.615131430598038e-05
audio_tracks,single,kulsinski,standard,,0.9994272623138603,-4.615131430598038e-05
